subject_cd,number,title
CPSC,2005,Introduction to Computer
CPSC,2100,Introduction to Computing
CPSC,3142,Intro to C++
CPSC,3148,Computer Programming: Java
CPSC,3310,Intro to Object-oriented Programming
CPSC,4148,Adv. Progr. Using Java
CPSC,4190,Intro to Software Engineering
CPSC,4205,Computer Organization
CPSC,4335,Operating Systems
CPSC,4338,Discrete Structures
CPSC,4342,Intro to Computer Networks
CPSC,4345,Database Systems
CPSC,4355,Data Structures and Algorithms
CPSC,4435,Secure Programming
CPSC,4437,Web App Development II
CPSC,4530,Mobile App Developments
CPSC,4535,Introduction to Unix Systems
CPSC,4542,Cont Issues Digital Forensics
CPSC,4566,3D Animation
CPSC,4572,Advanced Windows Administration
CPSC,4576,Database Design Admin SQL
CPSC,4581,Info Security Policy Mgmt
CPSC,4583,Lab in Info Security
CPSC,4622,Spec Topics in Digital Forensics
CPSC,4631,Game Design
CPSC,4653,Intro to Virtual Reality
CPSC,4780,Big Data Proc & Analytics
CPSC,4900,Senior Project and Seminar
